views,uploader,county_code
46,1,8047
22,,8047
105,1,8049
64,,8049
54,,8051
132,1,8051
3,1,8053
10,,8053
7,1,8055
6,,8055
5530,1,8059
2105,,8059
33,1,8063
16,,8063
88,1,8065
43,,8065
158,,8067
437,1,8067
905,,8069
2460,1,8069
45,1,8071
21,,8071
27,1,8073
12,,8073
86,1,8075
37,,8075
1254,1,8077
499,,8077
5,1,8079
3,,8079
73,1,8081
42,,8081
69,1,8083
27,,8083
336,1,8085
151,,8085
216,1,8087
280,,8087
205,1,8089
112,,8089
8,,8091
15,1,8091
31,1,8093
18,,8093
11,1,8095
6,,8095
333,1,8097
96,,8097
39,,8099
108,1,8099
566,1,8101
354,,8101
2,1,8103
31,1,8105
15,,8105
153,1,8107
49,,8107
16,1,8109
11,,8109
1,1,8111
67,1,8113
28,,8113
3,1,8115
111,,8117
345,1,8117
125,1,8119
70,,8119
1643,1,8123
673,,8123
5,1,8125
1,,8125
9113,1,9001
2911,,9001
5513,1,9003
1591,,9003
1337,1,9005
383,,9005
902,1,9007
282,,9007
5902,1,9009
2119,,9009
1614,1,9011
562,,9011
893,1,9013
255,,9013
578,1,9015
258,,9015
607,1,10001
232,,10001
4354,1,10003
1136,,10003
457,,10005
1386,1,10005
5481,1,12001
2798,,12001
158,1,12003
77,,12003
1932,1,12005
1151,,12005
119,1,12007
39,,12007
4542,,12009
9384,1,12009
17911,1,12011
11461,,12011
81,,12013
435,1,12013
1531,1,12015
510,,12015
2231,1,12017
1010,,12017
1065,1,12019
1626,,12019
2975,1,12021
1398,,12021
418,1,12023
216,,12023
144,1,12027
52,,12027
109,1,12029
241,,12029
8040,1,12031
10605,,12031
3053,1,12033
1977,,12033
1361,1,12035
2357,,12035
343,1,12037
150,,12037
110,,12039
409,1,12039
12,1,12041
17,,12041
4,1,12043
1,,12043
14,,12045
43,1,12045
31,1,12047
18,,12047
122,1,12049
51,,12049
123,1,12051
116,,12051
3056,1,12053
2946,,12053
319,,12055
553,1,12055
26655,1,12057
16686,,12057
45,1,12059
30,,12059
1224,1,12061
817,,12061
143,1,12063
66,,12063
18,1,12065
5,,12065
1,1,12067
5649,1,12069
4235,,12069
8874,1,12071
4024,,12071
5266,1,12073
1820,,12073
128,1,12075
82,,12075
6,,12077
7,1,12077
41,1,12079
3,,12079
2121,,12081
4881,1,12081
4334,1,12083
2086,,12083
447,,12085
1121,1,12085
27881,1,12086
26484,,12086
559,1,12087
378,,12087
433,1,12089
524,,12089
1476,,12091
2576,1,12091
111,1,12093
163,,12093
20455,,12095
27290,1,12095
5530,1,12097
4413,,12097
13345,1,12099
11075,,12099
7828,1,12101
5804,,12101
20111,1,12103
23113,,12103
9309,1,12105
5377,,12105
202,,12107
420,1,12107
2874,1,12109
3823,,12109
4619,1,12111
7484,,12111
3556,1,12113
3470,,12113
4374,,12115
7848,1,12115
9671,1,12117
6398,,12117
1665,1,12119
1499,,12119
348,1,12121
277,,12121
150,1,12123
118,,12123
757,1,12125
356,,12125
8120,1,12127
6377,,12127
219,1,12129
193,,12129
539,1,12131
260,,12131
41,1,12133
30,,12133
24,1,13001
9,,13001
11,,13003
22,1,13003
16,1,13005
23,,13005
245,1,13009
86,,13009
