"views","date_id","candidate"
63206,20151028,"Clinton"
60226,20151029,"Clinton"
51613,20151030,"Clinton"
55992,20151031,"Clinton"
71015,20151101,"Clinton"
28045,20151102,"Clinton"
37176,20151103,"Clinton"
42910,20151104,"Clinton"
32386,20151105,"Clinton"
23050,20151106,"Clinton"
22250,20151107,"Clinton"
24350,20151108,"Clinton"
27955,20151109,"Clinton"
23603,20151110,"Clinton"
20140,20151111,"Clinton"
13427,20151112,"Clinton"
12768,20151113,"Clinton"
18702,20151114,"Clinton"
13538,20151115,"Clinton"
13938,20151116,"Clinton"
12370,20151117,"Clinton"
13824,20151118,"Clinton"
12362,20151119,"Clinton"
7527,20151120,"Clinton"
3243,20151121,"Clinton"
2590,20151122,"Clinton"
3198,20151123,"Clinton"
2779,20151124,"Clinton"
5650,20151125,"Clinton"
3127,20151126,"Clinton"
2337,20151127,"Clinton"
8508,20151128,"Clinton"
8989,20151129,"Clinton"
4840,20151130,"Clinton"
28625,20151201,"Clinton"
35693,20151202,"Clinton"
30843,20151203,"Clinton"
27631,20151204,"Clinton"
25561,20151205,"Clinton"
26071,20151206,"Clinton"
30857,20151207,"Clinton"
39264,20151208,"Clinton"
37405,20151209,"Clinton"
29996,20151210,"Clinton"
29383,20151211,"Clinton"
28613,20151212,"Clinton"
27760,20151213,"Clinton"
33137,20151214,"Clinton"
32483,20151215,"Clinton"
24029,20151216,"Clinton"
22443,20151217,"Clinton"
17759,20151218,"Clinton"
20400,20151219,"Clinton"
18489,20151220,"Clinton"
9562,20151221,"Clinton"
4738,20151222,"Clinton"
6395,20151223,"Clinton"
3705,20151224,"Clinton"
4923,20151225,"Clinton"
3175,20151226,"Clinton"
2734,20151227,"Clinton"
3256,20151228,"Clinton"
2548,20151229,"Clinton"
2864,20151230,"Clinton"
3902,20151231,"Clinton"
9152,20160101,"Clinton"
8421,20160102,"Clinton"
8832,20160103,"Clinton"
6806,20160104,"Clinton"
8963,20160105,"Clinton"
13612,20160106,"Clinton"
16177,20160107,"Clinton"
13637,20160108,"Clinton"
41545,20160109,"Clinton"
42224,20160110,"Clinton"
25712,20160111,"Clinton"
31904,20160112,"Clinton"
36594,20160113,"Clinton"
33974,20160114,"Clinton"
22655,20160115,"Clinton"
19688,20160116,"Clinton"
18307,20160117,"Clinton"
20471,20160118,"Clinton"
24541,20160119,"Clinton"
29568,20160120,"Clinton"
36387,20160121,"Clinton"
36253,20160122,"Clinton"
30490,20160123,"Clinton"
23206,20160124,"Clinton"
25770,20160125,"Clinton"
34978,20160126,"Clinton"
52558,20160127,"Clinton"
56157,20160128,"Clinton"
63370,20160129,"Clinton"
57924,20160130,"Clinton"
60184,20160131,"Clinton"
30166,20160201,"Clinton"
20348,20160202,"Clinton"
17529,20160203,"Clinton"
22027,20160204,"Clinton"
27717,20160205,"Clinton"
39193,20160206,"Clinton"
215758,20160207,"Clinton"
58861,20160208,"Clinton"
33638,20160209,"Clinton"
19025,20160210,"Clinton"
20507,20160211,"Clinton"
35180,20160212,"Clinton"
23131,20160213,"Clinton"
20891,20160214,"Clinton"
26680,20160215,"Clinton"
23890,20160216,"Clinton"
39900,20160217,"Clinton"
147909,20160218,"Clinton"
104523,20160219,"Clinton"
36038,20160220,"Clinton"
45579,20160221,"Clinton"
38526,20160222,"Clinton"
27862,20160223,"Clinton"
29826,20160224,"Clinton"
116243,20160225,"Clinton"
72911,20160226,"Clinton"
31440,20160227,"Clinton"
20974,20160228,"Clinton"
18242,20160229,"Clinton"
23511,20160301,"Clinton"
16489,20160302,"Clinton"
12798,20160303,"Clinton"
14022,20160304,"Clinton"
17042,20160305,"Clinton"
14468,20160306,"Clinton"
14128,20160307,"Clinton"
12843,20160308,"Clinton"
10131,20160309,"Clinton"
49896,20160310,"Clinton"
100692,20160311,"Clinton"
27412,20160312,"Clinton"
19140,20160313,"Clinton"
22248,20160314,"Clinton"
22655,20160315,"Clinton"
18531,20160316,"Clinton"
160343,20160317,"Clinton"
153407,20160318,"Clinton"
63218,20160319,"Clinton"
32154,20160320,"Clinton"
13135,20160321,"Clinton"
11556,20160322,"Clinton"
8618,20160323,"Clinton"
10354,20160324,"Clinton"
11138,20160325,"Clinton"
8280,20160326,"Clinton"
8522,20160327,"Clinton"
8777,20160328,"Clinton"
7463,20160329,"Clinton"
46349,20160330,"Clinton"
30095,20160331,"Clinton"
13124,20160401,"Clinton"
9398,20160402,"Clinton"
9096,20160403,"Clinton"
8787,20160404,"Clinton"
7127,20160405,"Clinton"
8251,20160406,"Clinton"
11603,20160407,"Clinton"
11392,20160408,"Clinton"
7584,20160409,"Clinton"
7680,20160410,"Clinton"
54459,20160411,"Clinton"
49220,20160412,"Clinton"
16033,20160413,"Clinton"
8631,20160414,"Clinton"
11894,20160415,"Clinton"
10686,20160416,"Clinton"
18728,20160417,"Clinton"
11657,20160418,"Clinton"
22255,20160419,"Clinton"
33190,20160420,"Clinton"
27123,20160421,"Clinton"
26349,20160422,"Clinton"
19474,20160423,"Clinton"
15533,20160424,"Clinton"
83285,20160425,"Clinton"
71733,20160426,"Clinton"
9860,20160427,"Clinton"
10892,20160428,"Clinton"
6885,20160429,"Clinton"
14252,20160430,"Clinton"
17676,20160501,"Clinton"
8134,20160502,"Clinton"
14303,20160503,"Clinton"
13435,20160504,"Clinton"
